Produto,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
VINHO DE MESA,217.208.604,154.264.651,146.953.297,116.710.345,193.875.345,177.401.209,144.565.438,195.359.778,200.053.669,211.252.982,130.308.185,186.129.728,234.754.564,120.261.544,177.680.331,275.338.955,157.711.522,150.467.184,244.791.058,181.801.961,210.548.199,126.768.254,163.248.419,171.754.995,202.073.263,214.788.304,152.917.771,182.816.047,150.814.943,226.520.776,273.025.576,228.932.458,259.589.740,202.545.724,313.962.284,226.080.432,185.100.887,275.287.908,287.506.811,205.418.206,195.267.980,257.840.749,212.777.037,196.904.222,196.173.123,210.308.560,86.319.015,255.015.187,218.375.636,144.629.737,124.200.414,173.899.995,195.031.611,169.762.429
Tinto,174.224.052,121.133.369,118.180.926,88.589.019,146.544.484,144.274.134,118.360.170,154.801.826,162.917.363,154.736.439,101.659.755,134.156.175,183.349.460,87.080.528,119.615.028,216.732.390,118.766.694,97.841.160,173.747.942,136.931.173,154.359.897,90.320.836,118.638.894,125.172.218,161.479.717,167.174.017,115.896.909,116.458.841,102.127.865,168.149.414,208.242.670,175.267.437,215.892.333,155.513.687,254.172.425,180.698.666,149.552.555,228.156.220,241.057.928,164.143.454,157.290.088,210.113.358,175.875.432,163.111.797,157.776.363,169.811.472,75.279.191,1.365.957,188.270.142,121.045.115,103.916.391,146.075.996,162.844.214,139.320.884
Branco,748.400,1.160.500,1.812.367,243.900,4.138.768,1.441.507,1.871.473,4.954.387,5.079.748,7.146.395,5.363.452,12.547.739,15.782.499,12.191.896,19.502.230,23.010.666,16.872.183,27.497.857,32.660.045,24.603.265,33.512.030,25.046.588,25.446.255,31.986.075,28.291.853,15.472.732,24.073.622,41.842.945,32.140.249,42.528.150,44.902.276,44.322.836,35.329.657,40.861.639,51.719.967,39.212.146,31.738.390,42.118.552,42.942.053,39.211.278,35.408.083,46.007.504,34.938.249,32.066.403,37.438.069,39.557.250,10.727.099,217.527.985,29.229.970,22.032.828,19.568.734,26.432.799,30.198.430,27.910.299
Rosado,42.236.152,31.970.782,26.960.004,27.877.426,43.192.093,31.685.568,24.333.795,35.603.565,32.056.558,49.370.148,23.284.978,39.425.814,35.622.605,20.989.120,38.563.073,35.595.899,22.072.645,25.128.167,38.383.071,20.267.523,22.676.272,11.400.830,19.163.270,14.596.702,12.301.693,32.141.555,12.947.240,24.514.261,16.546.829,15.843.212,19.880.630,9.342.185,8.367.750,6.170.398,8.069.892,6.169.620,3.809.942,5.013.136,3.506.830,2.063.474,2.569.809,1.719.887,1.963.356,1.726.022,958.691,939.838,312.725,36.121.245,875.524,1.551.794,715.289,1.391.200,1.988.968,2.531.246
VINHO FINO DE MESA (VINIFERA),23.899.346,23.586.062,21.078.771,12.368.410,31.644.124,39.424.590,34.500.590,41.264.971,36.750.933,46.129.710,31.740.663,49.348.047,57.453.581,40.616.812,48.289.279,67.035.393,48.559.180,47.301.266,76.560.765,72.772.144,73.689.124,45.519.167,52.612.778,53.054.225,58.733.741,47.126.229,45.325.058,46.988.414,33.898.630,45.830.497,56.209.739,34.159.277,31.655.226,29.551.457,42.902.608,45.453.898,32.168.977,43.176.484,47.334.501,39.900.568,24.805.713,47.598.471,45.200.730,45.782.530,38.464.314,37.148.982,18.070.626,44.537.870,38.707.220,37.615.422,32.516.686,43.474.998,47.511.796,46.268.556
Tinto,7.591.557,7.265.666,6.782.837,3.419.625,10.047.658,14.731.106,12.405.154,16.131.758,15.000.671,14.356.453,9.296.741,16.036.963,19.987.588,14.340.514,15.777.602,19.347.979,12.282.967,10.920.073,18.690.518,16.140.751,17.750.504,12.001.895,13.449.911,12.119.485,15.646.861,11.924.291,12.819.866,12.590.647,8.716.140,14.640.657,18.545.613,13.587.683,13.619.033,15.357.576,23.062.182,25.409.805,18.868.108,24.786.071,27.583.032,18.209.043,11.401.406,24.104.740,24.027.589,23.156.458,17.208.996,16.745.896,8.774.847,21.442.212,19.118.254,17.389.377,15.451.883,20.433.249,24.417.918,23.615.783
Branco,15.562.889,15.655.709,13.289.304,7.930.070,18.927.471,21.933.695,19.874.659,20.409.231,17.640.081,25.727.132,19.326.572,27.528.276,34.423.412,24.164.361,30.395.959,44.679.484,34.794.145,35.432.544,56.441.847,54.983.093,52.080.420,33.307.472,38.856.367,40.415.898,42.419.680,34.209.738,31.893.892,33.792.167,24.384.090,30.674.840,36.955.126,20.393.594,17.911.689,14.058.481,19.803.647,20.012.363,13.249.969,17.598.428,18.812.571,21.366.975,13.013.027,22.739.426,20.647.238,21.906.349,20.054.804,19.561.966,8.705.066,21.928.400,18.297.257,18.193.055,15.487.915,20.867.999,20.896.613,20.693.437
Rosado,744.900,664.687,1.006.630,1.018.715,2.668.995,2.759.789,2.220.777,4.723.982,4.110.181,6.046.125,3.117.350,5.782.808,3.042.581,2.111.937,2.115.718,3.007.930,1.482.068,948.649,1.428.400,1.648.300,3.858.200,209.800,306.500,518.842,667.200,992.200,611.300,605.600,798.400,515.000,709.000,178.000,124.504,135.400,36.779,31.730,50.900,791.985,938.898,324.550,391.280,754.305,525.903,719.723,1.200.514,841.120,590.713,1.167.258,1.291.709,2.032.990,1.576.888,2.173.750,2.197.265,1.959.336
SUCO,1.097.771,2.296.654,3.509.440,-,-,-,-,-,-,-,-,-,-,-,-,6.631.667,4.313.768,5.469.016,7.586.870,6.923.183,10.423.252,11.324.462,10.797.624,12.031.753,13.343.721,12.893.959,9.189.900,13.409.014,13.904.186,15.532.303,17.722.779,17.987.182,20.228.691,12.420.745,24.078.112,27.960.596,31.361.096,30.136.844,35.647.994,39.715.098,50.125.944,69.364.324,70.066.732,64.879.790,76.723.537,87.894.468,42.210.389,77.161.971,65.467.906,77.805.352,69.261.287,100.932.264,65.809.079,67.045.238
Suco de uva integral,1.097.771,2.296.654,3.509.440,-,-,-,-,-,-,-,-,-,-,-,-,3.544.706,2.116.507,2.262.240,2.018.000,2.824.600,2.848.560,3.609.000,4.033.698,3.800.800,3.884.000,4.123.776,2.407.900,2.884.969,3.904.186,4.132.303,3.546.779,5.196.430,5.505.889,1.372.381,6.222.380,7.103.175,13.946.491,10.147.037,11.817.941,16.034.003,26.887.259,39.487.800,31.908.829,33.673.396,43.331.223,52.233.155,31.117.869,46.865.626,34.367.996,50.239.767,40.718.523,68.038.479,35.248.305,38.122.173
Suco de uva concentrado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.086.961,2.197.261,3.206.776,5.568.870,4.098.583,7.574.692,7.715.462,6.763.926,8.230.953,9.459.721,8.770.183,6.782.000,10.524.045,10.000.000,11.400.000,14.176.000,12.790.752,14.722.802,11.048.364,17.855.732,19.513.244,17.414.605,19.280.709,23.014.646,23.006.457,23.238.685,29.564.324,37.624.855,31.206.394,33.392.314,35.661.313,11.092.520,30.059.271,31.099.910,26.861.009,27.963.865,32.131.218,29.892.550,28.216.760
Suco de uva adoçado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.344.177,-,709.098,815.407,674.638,-,312.200,533.048,-,-,-,-,177.774,-,120.320,107.289,40.450,79.130,94.587
Suco de uva orgânico,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,471.610,722.117,589.094,611.718
Suco de uva reconstituído,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,59.300,-,584.256,-,-,-,-
DERIVADOS,14.164.329,13.280.518,12.314.509,28.317.919,47.904.934,53.633.143,22.925.012,24.015.856,41.607.777,35.370.846,37.553.414,52.530.037,37.506.770,27.314.628,17.331.744,17.336.419,14.785.645,14.905.862,19.644.584,12.004.574,16.191.621,20.352.398,29.469.940,17.573.100,16.053.642,23.637.100,12.754.798,24.553.317,14.693.351,23.422.306,25.959.016,15.498.842,28.122.348,24.108.352,28.471.858,25.541.605,27.752.531,42.011.603,59.622.293,56.787.892,51.210.756,85.748.723,100.757.101,64.072.127,62.907.281,107.349.704,53.950.314,109.116.761,95.202.101,142.888.747,92.533.804,169.031.493,138.501.226,174.716.647
Espumante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76.000,-,-,-,11.000,-,-,-,-,-,-,6.900,71.410,-,-,-,3.999,1.920,26.600,-,88.690,-,10.125,26.361,17.200,30.275,2.700,23.750,1.500,11.280,68.500,52.176,32.399,70.091,70.759,65.525
Espumante moscatel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,276.099,-,147.600,204.000,514.480,320.514,589.332,1.113.462,1.190.500,703.393,219.100,139.775,159.781,100.000,110.100,100.000,152.375,326.200,515.800,689.139,11.950,27.200,14.744
Base espumante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,239.000,-,78.250,220.120,335.850,-,-,-,-,-,-,-,-,-,-,-,5.475.049,-,-
Base espumante moscatel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,98.900,212.400,362.589,111.200,474.721,442.150,1.144.508,2.749.540,2.798.908,1.470.700,1.808.044,1.607.727,1.325.700,1.965.629,1.320.650,1.962.443,3.006.705,5.549.471,6.308.043,6.734.590
Base Champenoise champanha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.082,74.746,369.278,359.617,234.725,605.001,740.395,1.552.403,228.518,274.903,200.777,-,1.146.717,1.552.243
Base Charmat champanha,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,254.000,865.858,479.625,624.728,376.968,1.466.259,250.280,893.364,1.746.540,1.188.095,2.487.939,-,4.078.766,5.418.118
